,Date,btc_close,link_close,zrx_close,yfi_close,uni_close,omg_close,eth_close,xrp_close,cake_close,comp_close,fil_close,vet_close,trx_close,doge_close,ada_close,zil_close,celo_close,crv_close,dot_close,algo_close,grt_close,rune_close,rvn_close,ftm_close
112,2020-04-23,7482.39,3.7533,0.1753,,,0.5956,185.51,0.1926,,,,0.003952,0.01361,0.0020512,0.04088,0.00433,,,,0.1952,,,0.01742,0.00315
113,2020-04-24,7505.0,3.7735,0.1855,,,0.6169,187.59,0.19325,,,,0.004085,0.01392,0.0020832,0.04165,0.00465,,,,0.209,,,0.01788,0.00337
114,2020-04-25,7538.67,3.7865,0.1846,,,0.6316,194.21,0.19418,,,,0.004216,0.01396,0.0021245,0.04222,0.00479,,,,0.2108,,,0.01909,0.00372
115,2020-04-26,7693.1,3.721,0.1986,,,0.6604,197.38,0.19618,,,,0.00448,0.01426,0.0024076,0.04593,0.00507,,,,0.2257,,,0.01998,0.00418
116,2020-04-27,7774.62,3.6383,0.2066,,,0.6585,196.34,0.19747,,,,0.004356,0.01452,0.0023456,0.04648,0.00503,,,,0.2168,,,0.01932,0.00442
117,2020-04-28,7738.98,3.6413,0.2041,,,0.6682,196.24,0.21416,,,,0.004287,0.01528,0.002327,0.04679,0.00498,,,,0.2154,,,0.01953,0.00442
118,2020-04-29,8778.57,3.8879,0.2132,,,0.7687,215.36,0.22648,,,,0.004766,0.01624,0.0024912,0.05146,0.00537,,,,0.2302,,,0.0204,0.00483
119,2020-04-30,8620.0,3.7025,0.1982,,,0.7392,206.08,0.21135,,,,0.004353,0.01519,0.002433,0.04752,0.00553,,,,0.2093,,,0.01901,0.00455
120,2020-05-01,8826.96,3.7571,0.2136,,,0.7536,212.02,0.21786,,,,0.004437,0.01581,0.0024749,0.05091,0.00595,,,,0.2139,,,0.01971,0.0049
121,2020-05-02,8972.05,3.8182,0.2142,,,0.7511,213.9,0.22369,,,,0.004515,0.01635,0.002542,0.0509,0.00621,,,,0.2188,,,0.02141,0.00497
122,2020-05-03,8894.16,3.7092,0.2063,,,0.7266,209.86,0.21936,,,,0.004332,0.01599,0.0025001,0.04898,0.00606,,,,0.2055,,,0.02048,0.00459
123,2020-05-04,8871.96,3.7499,0.204,,,0.7177,206.48,0.21776,,,,0.004444,0.01623,0.0024605,0.04942,0.0071,,,,0.2055,,,0.0214,0.00438
124,2020-05-05,9021.83,3.6833,0.2065,,,0.7099,205.29,0.21688,,,,0.004419,0.0159,0.0024738,0.04945,0.00826,,,,0.2085,,,0.0221,0.00436
125,2020-05-06,9142.92,3.5872,0.2102,,,0.682,198.97,0.21158,,,,0.00425,0.01554,0.0024801,0.04889,0.00706,,,,0.1976,,,0.02145,0.00395
126,2020-05-07,9986.4,3.756,0.3014,,,0.7076,212.0,0.21862,,,,0.00451,0.01603,0.0026627,0.05123,0.00709,,,,0.204,,,0.0216,0.00406
127,2020-05-08,9800.01,3.801,0.3943,,,0.7625,211.31,0.21865,,,,0.004783,0.01627,0.0026052,0.05201,0.00702,,,,0.2181,,,0.02189,0.00401
128,2020-05-09,9539.4,4.015,0.4226,,,0.7409,210.07,0.21642,,,,0.004549,0.01609,0.0026075,0.05145,0.00717,,,,0.2136,,,0.02098,0.00392
129,2020-05-10,8722.77,3.7582,0.3958,,,0.675,187.54,0.19702,,,,0.004165,0.01426,0.0024602,0.04755,0.00688,,,,0.1919,,,0.01898,0.00358
130,2020-05-11,8561.52,3.5837,0.3439,,,0.6665,185.73,0.19254,,,,0.004113,0.01398,0.0024125,0.04779,0.00701,,,,0.1865,,,0.0183,0.00399
131,2020-05-12,8810.79,3.6943,0.3556,,,0.7172,189.76,0.19711,,,,0.004243,0.01455,0.0024606,0.05043,0.00762,,,,0.1933,,,0.01948,0.00393
132,2020-05-13,9309.37,3.7655,0.3475,,,0.7635,199.58,0.20177,,,,0.004459,0.01501,0.0025245,0.05147,0.00942,,,,0.1954,,,0.01956,0.00464
133,2020-05-14,9791.98,3.8096,0.3429,,,0.9453,203.29,0.20386,,,,0.004494,0.01527,0.0025813,0.05098,0.01046,,,,0.197,,,0.01928,0.00553
134,2020-05-15,9316.42,3.6615,0.3825,,,0.9551,194.86,0.19818,,,,0.004377,0.01488,0.0024888,0.05026,0.01004,,,,0.192,,,0.01854,0.00518
135,2020-05-16,9381.27,3.7614,0.3834,,,0.9323,200.45,0.19969,,,,0.004449,0.01497,0.0025098,0.051,0.01089,,,,0.198,,,0.0193,0.00483
136,2020-05-17,9680.04,3.7815,0.3729,,,0.9721,207.0,0.20131,,,,0.004426,0.015,0.0025331,0.05129,0.01058,,,,0.1979,,,0.01911,0.00458
137,2020-05-18,9733.93,3.8895,0.3711,,,1.0218,214.91,0.20543,,,,0.004487,0.01537,0.0025379,0.05434,0.00997,,,,0.2014,,,0.01928,0.00463
138,2020-05-19,9775.53,3.947,0.3588,,,1.1794,214.58,0.20496,,,,0.004534,0.01553,0.0025487,0.05677,0.00979,,,,0.2008,,,0.0196,0.00481
139,2020-05-20,9511.43,4.0866,0.3608,,,1.1679,209.98,0.20179,,,,0.004525,0.015,0.0025002,0.05689,0.00962,,,,0.2091,,,0.01914,0.00514
140,2020-05-21,9068.65,3.8298,0.3232,,,1.5427,198.74,0.19434,,,,0.004237,0.01421,0.0024774,0.05207,0.00975,,,,0.1915,,,0.01854,0.0048
141,2020-05-22,9170.0,4.0611,0.3337,,,1.8003,207.36,0.20034,,,,0.00464,0.01484,0.0025175,0.05576,0.01003,,,,0.2044,,,0.01935,0.00531
142,2020-05-23,9179.15,3.925,0.3262,,,1.8737,206.6,0.19883,,,,0.004609,0.01496,0.0025271,0.0549,0.00985,,,,0.2014,,,0.0193,0.0058
143,2020-05-24,8720.34,3.7917,0.3005,,,1.5367,199.9,0.19256,,,,0.004467,0.01421,0.0024461,0.05125,0.00985,,,,0.1972,,,0.01905,0.0055
144,2020-05-25,8900.35,3.8614,0.3197,,,1.7232,204.15,0.19622,,,,0.005064,0.01472,0.0025324,0.0539,0.01246,,,,0.2118,,,0.02044,0.00572
145,2020-05-26,8841.18,3.844,0.3474,,,1.6523,200.89,0.19372,,,,0.004871,0.01458,0.0024781,0.05355,0.01237,,,,0.2186,,,0.02111,0.00582
146,2020-05-27,9204.07,3.8526,0.3364,,,1.6448,208.29,0.19791,,,,0.004896,0.0147,0.0024998,0.05513,0.01228,,,,0.22,,,0.02025,0.00544
147,2020-05-28,9575.89,4.0461,0.3328,,,1.6064,220.21,0.20052,,,,0.005508,0.01514,0.002523,0.06502,0.01237,,,,0.227,,,0.02052,0.00555
148,2020-05-29,9427.07,3.98,0.3327,,,1.6029,220.67,0.19759,,,,0.005547,0.015,0.0025303,0.06469,0.01248,,,,0.2281,,,0.02061,0.00597
149,2020-05-30,9697.72,4.1763,0.3373,,,1.5768,243.66,0.20701,,,,0.006227,0.01638,0.002618,0.07691,0.01339,,,,0.2438,,,0.02124,0.00582
